epoxy.txt		Berger, 1991(145)	Contact angle	γs = 42.6 mJ/m2 (γsd = 42.6; γsp = 0.0);         Various test liquids, by geometric mean equation. | no temp cited                                    Commercial two-part acid-cured epoxy adhesive.
epoxy.txt		Occhiello, 1991(202)	Contact angle	γs = 51.6 mJ/m2 (γsd = 32.6, γsp = 19.0);        Test liquids: water and diiodomethane; epoxy E11 adhesive, | no temp cited                                    cured 1 h at 353K (80oC).
epoxy.txt		Comyn, 2006(279)	Contact angle	γs = 45.5 mJ/m2 (γsd = 37.2; γsp = 8.3);         Test liquids not known. Rubber modified epoxide surface. | no temp cited
epoxy.txt		Comyn, 2006(279)	Contact angle	γs = 46.2 mJ/m2 (γsd = 41.2; γsp = 5.0);         Test liquids not known. Amine cured epoxide surface. | no temp cited
fep.txt		Sperati, 1989(222)	Critical ST	γc = 17.8-18.6 mJ/m2; no temp cited               Test liquids not known.
fep.txt		Markgraf, 2005(62)	Critical ST	γc = 18-22 mJ/m2; no temp cited                   Test liquids not known.
fep.txt		Petke, 1969(234)	Contact angle	θWA = 108o; no temp cited
fep.txt		Dwight, 1974(52)	Contact angle	θWA = 109o, θWR = 93o, dθW = 16o; | no temp cited
fep.txt		Westerdahl, 1974(63)	Contact angle	θWY = 103o, no temp cited                         Commercial grade film, thickness 5 mils.
fep.txt		Triolo, 1983(189)	Contact angle	θWR = 96o; no temp cited                          Data estimated from graph. Fully hydrated sample immersed in | water; interface with advancing, submerged octane bubble.
fep.txt		Egitto, 1990(65)	Contact angle	θWY = 110o, no temp cited
fep.txt		Li, 1992(176)	Contact angle	θWY = 111.6o; 20oC
fep.txt		Pettit, 1992(305)	Contact angle	θWY = 103o; no temp cited
fep.txt		Bee, 1993(214)	Contact angle	θWA = 115o, θWR = 100o, dθW = 15o; | no temp cited
fep.txt		Good, 1998(151)	Contact angle	θWA = 118.6o, θWR = 105.2o, dθW = 13.4o;          Surface rinsed with unspecified light hydrocarbon. | no temp cited
fep.txt		Angu, 2000(220)	Contact angle	θWY = 101.5o; no temp cited                       Underwater captive bubble method, measured on concave | tubular surface; technique A.
fep.txt		Angu, 2000(220)	Contact angle	θWY = 107.3o; no temp cited                       Underwater captive bubble method, measured on concave | tubular surface; technique B.
fep.txt		Ebnesajjad, 2006(280)	Contact angle	θWY = 101o, no temp cited                         FEP-coated wire.
